run_id,model,traj,pos,changed_factor,ngl,ub,t,ctk,mmp,fa,moe_cpu_frac,status,tok_s,stddev_ts,reps_tok_s,wall_s,settle_s,free_ram_gb_pre,temp_pre,sm_mhz_pre,mem_mhz_pre,vram_mib_pre,power_w_pre,temp_post,sm_mhz_post,mem_mhz_post,vram_mib_post,power_w_post,ts_utc,cmd
a76b038e46db6d16,7B,0,0,base,0,128,2,q8_0,1,0,,ok,5.669395,0.029897,"[5.6379, 5.6728, 5.6975]",70.0,30.3,12.27,41,1885,4006,391,36.83,37,139,405,393,8.39,2026-08-16 14:20:07 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 0 -ub 128 -t 2 -ctk q8_0 -ctv f16 -b 2048 -mmp 1 -fa 0 -n 128 -p 0 -r 3 -o json
0b742b29d4311442,7B,0,1,ngl,19,128,2,q8_0,1,0,,ok,11.127923,0.040043,"[11.0828, 11.1592, 11.1418]",37.6,30.4,12.47,37,139,405,390,8.01,44,1582,4006,390,30.89,2026-08-16 14:21:15 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 19 -ub 128 -t 2 -ctk q8_0 -ctv f16 -b 2048 -mmp 1 -fa 0 -n 128 -p 0 -r 3 -o json
8dcb95d2fccd01d1,7B,0,2,mmp,19,128,2,q8_0,0,0,,ok,11.124631,0.042512,"[11.1737, 11.1018, 11.0984]",36.8,30.4,12.47,41,139,405,390,8.30,47,1594,4006,390,31.08,2026-08-16 14:22:23 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 19 -ub 128 -t 2 -ctk q8_0 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
42c23ce33528255a,7B,0,3,t,19,128,4,q8_0,0,0,,ok,13.064028,0.007566,"[13.057, 13.072, 13.0631]",31.6,30.4,12.46,43,139,405,390,8.59,54,1873,4006,390,38.57,2026-08-16 14:23:25 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 19 -ub 128 -t 4 -ctk q8_0 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
8739b12e3ddfd1aa,7B,0,4,ctk,19,128,4,f16,0,0,,ok,12.981003,0.076622,"[12.9756, 12.9072, 13.0602]",31.8,30.4,12.47,47,139,405,390,8.78,57,1860,4006,390,38.45,2026-08-16 14:24:28 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 19 -ub 128 -t 4 -ctk f16 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
229f07f481798f8b,7B,0,5,fa,19,128,4,f16,0,1,,ok,13.150985,0.013062,"[13.136, 13.1574, 13.1596]",31.5,30.4,12.45,49,139,405,390,8.97,59,1860,4006,390,38.93,2026-08-16 14:25:30 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 19 -ub 128 -t 4 -ctk f16 -ctv f16 -b 2048 -mmp 0 -fa 1 -n 128 -p 0 -r 3 -o json
ad7fe6f77dd53205,7B,0,6,ub,19,1024,4,f16,0,1,,ok,13.062054,0.074844,"[13.0761, 13.1289, 12.9812]",31.6,30.4,12.46,51,139,405,390,8.88,60,1860,4006,393,39.22,2026-08-16 14:26:32 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 19 -ub 1024 -t 4 -ctk f16 -ctv f16 -b 2048 -mmp 0 -fa 1 -n 128 -p 0 -r 3 -o json
e18ee93665293d7f,7B,1,0,base,9,2048,2,f16,0,0,,ok,7.057538,0.135369,"[7.212, 7.0013, 6.9594]",56.9,30.3,12.47,52,139,405,393,8.30,52,873,3802,392,25.91,2026-08-16 14:28:00 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 9 -ub 2048 -t 2 -ctk f16 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
792e92444560892d,7B,1,1,ub,9,512,2,f16,0,0,,ok,7.07836,0.149152,"[7.2486, 7.0158, 6.9707]",56.8,30.3,12.46,49,139,405,392,7.82,50,873,3802,392,25.81,2026-08-16 14:29:28 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 9 -ub 512 -t 2 -ctk f16 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
ece250619dfe2aeb,7B,1,2,t,9,512,4,f16,0,0,,ok,8.277249,0.121857,"[8.4179, 8.2082, 8.2056]",48.8,30.4,12.47,47,139,405,390,8.59,49,898,3802,390,25.91,2026-08-16 14:30:47 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 9 -ub 512 -t 4 -ctk f16 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
3cc540e6690bda45,7B,1,3,ctk,9,512,4,q8_0,0,0,,ok,8.355488,0.185479,"[8.5683, 8.2282, 8.2699]",48.4,30.4,12.46,46,139,405,390,8.59,49,898,3802,390,25.81,2026-08-16 14:32:06 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 9 -ub 512 -t 4 -ctk q8_0 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
