run_id,model,block,matrix,ngl,ub,t,ctk,mmp,fa,moe_cpu_frac,status,tok_s,stddev_ts,reps_tok_s,wall_s,settle_s,free_ram_gb_pre,temp_pre,sm_mhz_pre,mem_mhz_pre,vram_mib_pre,power_w_pre,temp_post,sm_mhz_post,mem_mhz_post,vram_mib_post,power_w_post,ts_utc,cmd
404d25450a619814,7B,0,A,9,1024,1,f16,0,0,,ok,4.399925,0.088251,"[4.4416, 4.4597, 4.2986]",89.9,30.4,12.77,41,1885,4006,400,36.73,43,911,4006,400,26.10,2026-08-16 19:55:53 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 9 -ub 1024 -t 1 -ctk f16 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
3c472d9fdc762c93,7B,0,B,99,1024,1,q8_0,0,0,,ok,22.419841,0.032005,"[22.4227, 22.4503, 22.3865]",19.3,30.3,12.86,42,139,405,400,8.49,56,1860,4006,400,38.18,2026-08-16 19:56:43 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 99 -ub 1024 -t 1 -ctk q8_0 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
fc6ebf3f73937e50,7B,0,AB_ngl,99,1024,1,f16,0,0,,ok,22.177376,0.04887,"[22.2139, 22.1964, 22.1219]",19.4,30.3,12.86,48,139,405,400,8.20,61,1835,4006,400,38.37,2026-08-16 19:57:34 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 99 -ub 1024 -t 1 -ctk f16 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
5d2da4ac32d677b8,7B,0,AB_ub,9,1024,1,f16,0,0,,ok,4.466169,0.013337,"[4.4656, 4.4798, 4.4531]",88.5,30.3,12.86,52,139,405,400,8.20,52,1506,4006,402,30.61,2026-08-16 19:59:33 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 9 -ub 1024 -t 1 -ctk f16 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
a755c2b75a8ffa2e,7B,0,AB_t,9,1024,1,f16,0,0,,ok,4.483827,0.023614,"[4.4591, 4.4862, 4.5062]",88.2,30.3,12.85,49,139,405,400,8.78,52,1506,4006,398,30.51,2026-08-16 20:01:32 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 9 -ub 1024 -t 1 -ctk f16 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
cea19451b4416a5a,7B,0,AB_ctk,9,1024,1,q8_0,0,0,,ok,4.465399,0.01848,"[4.4445, 4.4798, 4.4719]",88.6,30.4,12.84,49,139,405,398,8.78,52,1506,4006,400,30.61,2026-08-16 20:03:31 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 9 -ub 1024 -t 1 -ctk q8_0 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
f3569dce6311897c,7B,1,A,19,128,3,q8_0,0,0,,ok,12.663843,0.095736,"[12.5533, 12.7179, 12.7203]",32.6,30.4,12.86,49,139,405,400,8.68,59,1860,4006,400,38.57,2026-08-16 20:04:35 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 19 -ub 128 -t 3 -ctk q8_0 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
52e1185198723a20,7B,1,B,0,2048,3,q8_0,0,0,,ok,6.642521,0.016932,"[6.6478, 6.6236, 6.6562]",60.3,30.3,12.85,52,139,405,398,8.78,47,139,405,400,9.17,2026-08-16 20:06:06 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 0 -ub 2048 -t 3 -ctk q8_0 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
29d3a0855c65342a,7B,1,AB_ngl,0,128,3,q8_0,0,0,,ok,6.632362,0.053344,"[6.613, 6.6927, 6.5914]",60.4,30.3,12.92,45,139,405,400,7.82,43,139,405,398,8.88,2026-08-16 20:07:37 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 0 -ub 128 -t 3 -ctk q8_0 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
3cb77f3b84f4e06d,7B,1,AB_ub,19,2048,3,q8_0,0,0,,ok,12.734135,0.073856,"[12.7581, 12.6513, 12.793]",32.4,30.4,12.9,42,139,405,398,8.59,53,1873,4006,398,38.64,2026-08-16 20:08:40 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 19 -ub 2048 -t 3 -ctk q8_0 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
0e90375ef01131d1,7B,1,AB_t,19,128,3,q8_0,0,0,,ok,12.770756,0.024486,"[12.7449, 12.7935, 12.7739]",32.3,30.4,12.9,47,139,405,398,8.59,57,1860,4006,398,38.66,2026-08-16 20:09:43 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 19 -ub 128 -t 3 -ctk q8_0 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
553e343513a77ba1,7B,1,AB_ctk,19,128,3,q8_0,0,0,,ok,12.720297,0.017583,"[12.7026, 12.7204, 12.7378]",32.4,30.4,12.9,50,139,405,398,8.97,59,1860,4006,398,38.95,2026-08-16 20:10:46 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 19 -ub 128 -t 3 -ctk q8_0 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
dd176084cbb49449,7B,2,A,19,2048,3,f16,0,0,,ok,12.572679,0.064406,"[12.5428, 12.5287, 12.6466]",32.8,30.4,12.89,52,139,405,399,8.77,61,1860,4006,401,39.12,2026-08-16 20:11:50 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 19 -ub 2048 -t 3 -ctk f16 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
3a73900bb9d5a07e,7B,2,B,19,2048,1,f16,0,0,,ok,7.382328,0.011559,"[7.3695, 7.3857, 7.3918]",54.3,30.4,12.88,52,139,405,400,8.97,57,1657,4006,400,33.67,2026-08-16 20:13:15 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 19 -ub 2048 -t 1 -ctk f16 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
e30702475c347139,7B,2,AB_ngl,19,2048,3,f16,0,0,,ok,12.569459,0.088888,"[12.4722, 12.5898, 12.6464]",32.8,30.4,12.88,51,139,405,400,8.97,60,1860,4006,400,39.14,2026-08-16 20:14:19 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 19 -ub 2048 -t 3 -ctk f16 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
8987675d479f4651,7B,2,AB_ub,19,2048,3,f16,0,0,,ok,12.648754,0.055185,"[12.6501, 12.5929, 12.7032]",32.6,30.4,12.88,52,139,405,398,8.88,61,1860,4006,400,39.52,2026-08-16 20:15:22 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 19 -ub 2048 -t 3 -ctk f16 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
ae419695d7de3233,7B,2,AB_t,19,2048,1,f16,0,0,,ok,7.350636,0.026755,"[7.3197, 7.3661, 7.366]",54.6,35.4,12.87,52,139,405,400,8.97,57,1657,4006,398,33.10,2026-08-16 20:16:52 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 19 -ub 2048 -t 1 -ctk f16 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
32466252e5aaaf7c,7B,2,AB_ctk,19,2048,3,f16,0,0,,ok,12.582277,0.101715,"[12.5342, 12.5135, 12.6991]",32.8,30.4,12.88,51,139,405,400,8.97,60,1860,4006,400,39.14,2026-08-16 20:17:56 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 19 -ub 2048 -t 3 -ctk f16 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
16ac8f43f6fe4381,7B,3,A,19,128,1,f16,0,0,,ok,7.325999,0.107441,"[7.3979, 7.3776, 7.2025]",54.7,30.3,12.85,52,139,405,400,9.26,56,1468,4006,398,30.50,2026-08-16 20:19:21 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 19 -ub 128 -t 1 -ctk f16 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
80c61a27ac5ab3da,7B,3,B,0,128,2,f16,0,0,,ok,5.692406,0.024533,"[5.6674, 5.6934, 5.7164]",70.0,30.4,12.86,51,139,405,398,8.87,46,139,405,398,8.97,2026-08-16 20:21:02 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 0 -ub 128 -t 2 -ctk f16 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
