ggml_cuda_init: found 1 CUDA devices (Total VRAM: 6143 MiB):
  Device 0: NVIDIA GeForce GTX 1060 6GB, compute capability 6.1, VMM: yes, VRAM: 6143 MiB
load_backend: loaded CUDA backend from C:\Users\Federico\Documents\evo-compress\tools\llamacpp-b10098\ggml-cuda.dll
load_backend: loaded RPC backend from C:\Users\Federico\Documents\evo-compress\tools\llamacpp-b10098\ggml-rpc.dll
load_backend: loaded CPU backend from C:\Users\Federico\Documents\evo-compress\tools\llamacpp-b10098\ggml-cpu-haswell.dll
llama_print_build_info: build = 10098 (0278d8362)
llama_print_build_info: built with Clang 20.1.8 for Windows x86_64
llama_quantize: quantizing 'D:/evo-compress-data/gguf/Qwen3.5-4B-BF16.gguf' to 'D:/evo-compress-data/gguf/Qwen3.5-4B-naive-q2k.gguf' as Q2_K using 8 threads
llama_model_loader: loaded meta data with 42 key-value pairs and 426 tensors from D:/evo-compress-data/gguf/Qwen3.5-4B-BF16.gguf (version GGUF V3 (latest))
llama_model_loader: Dumping metadata keys/values. Note: KV overrides do not apply in this output.
llama_model_loader: - kv   0:                       general.architecture str              = qwen35
llama_model_loader: - kv   1:                               general.type str              = model
llama_model_loader: - kv   2:                               general.name str              = Qwen3.5-4B
llama_model_loader: - kv   3:                           general.basename str              = Qwen3.5-4B
llama_model_loader: - kv   4:                       general.quantized_by str              = Unsloth
llama_model_loader: - kv   5:                         general.size_label str              = 4B
llama_model_loader: - kv   6:                            general.license str              = apache-2.0
llama_model_loader: - kv   7:                       general.license.link str              = https://huggingface.co/Qwen/Qwen3.5-4...
llama_model_loader: - kv   8:                           general.repo_url str              = https://huggingface.co/unsloth
llama_model_loader: - kv   9:                   general.base_model.count u32              = 1
llama_model_loader: - kv  10:                  general.base_model.0.name str              = Qwen3.5 4B
llama_model_loader: - kv  11:          general.base_model.0.organization str              = Qwen
llama_model_loader: - kv  12:              general.base_model.0.repo_url str              = https://huggingface.co/Qwen/Qwen3.5-4B
llama_model_loader: - kv  13:                               general.tags arr[str,2]       = ["unsloth", "image-text-to-text"]
llama_model_loader: - kv  14:                         qwen35.block_count u32              = 32
llama_model_loader: - kv  15:                      qwen35.context_length u32              = 262144
llama_model_loader: - kv  16:                    qwen35.embedding_length u32              = 2560
llama_model_loader: - kv  17:                 qwen35.feed_forward_length u32              = 9216
llama_model_loader: - kv  18:                qwen35.attention.head_count u32              = 16
llama_model_loader: - kv  19:             qwen35.attention.head_count_kv u32              = 4
llama_model_loader: - kv  20:             qwen35.rope.dimension_sections arr[i32,4]       = [11, 11, 10, 0]
llama_model_loader: - kv  21:                      qwen35.rope.freq_base f32              = 10000000.000000
llama_model_loader: - kv  22:    qwen35.attention.layer_norm_rms_epsilon f32              = 0.000001
llama_model_loader: - kv  23:                qwen35.attention.key_length u32              = 256
llama_model_loader: - kv  24:              qwen35.attention.value_length u32              = 256
llama_model_loader: - kv  25:                          general.file_type u32              = 32
llama_model_loader: - kv  26:                     qwen35.ssm.conv_kernel u32              = 4
llama_model_loader: - kv  27:                      qwen35.ssm.state_size u32              = 128
llama_model_loader: - kv  28:                     qwen35.ssm.group_count u32              = 16
llama_model_loader: - kv  29:                  qwen35.ssm.time_step_rank u32              = 32
llama_model_loader: - kv  30:                      qwen35.ssm.inner_size u32              = 4096
llama_model_loader: - kv  31:             qwen35.full_attention_interval u32              = 4
llama_model_loader: - kv  32:                qwen35.rope.dimension_count u32              = 64
llama_model_loader: - kv  33:               general.quantization_version u32              = 2
llama_model_loader: - kv  34:                       tokenizer.ggml.model str              = gpt2
llama_model_loader: - kv  35:                         tokenizer.ggml.pre str              = qwen35
llama_model_loader: - kv  36:                      tokenizer.ggml.tokens arr[str,248320]  = ["!", "\"", "#", "$", "%", "&", "'", ...
llama_model_loader: - kv  37:                  tokenizer.ggml.token_type arr[i32,248320]  = [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, ...
llama_model_loader: - kv  38:                      tokenizer.ggml.merges arr[str,247587]  = ["Ġ Ġ", "ĠĠ ĠĠ", "i n", "Ġ t",...
llama_model_loader: - kv  39:                tokenizer.ggml.eos_token_id u32              = 248046
llama_model_loader: - kv  40:            tokenizer.ggml.padding_token_id u32              = 248055
llama_model_loader: - kv  41:                    tokenizer.chat_template str              = {%- set image_count = namespace(value...
llama_model_loader: - type  f32:  177 tensors
llama_model_loader: - type bf16:  249 tensors
[   1/ 426] output_norm.weight                   - [  2560,      1,      1,      1], type =    f32, size =    0.010 MiB
[   2/ 426] token_embd.weight                    - [  2560, 248320,      1,      1], type =   bf16, converting to q6_K .. size =  1212.50 MiB ->   497.31 MiB
[   3/ 426] blk.0.attn_gate.weight               - [  2560,   4096,      1,      1], type =   bf16, converting to q2_K .. size =    20.00 MiB ->     3.28 MiB
[   4/ 426] blk.0.attn_norm.weight               - [  2560,      1,      1,      1], type =    f32, size =    0.010 MiB
[   5/ 426] blk.0.attn_qkv.weight                - [  2560,   8192,      1,      1], type =   bf16, converting to q4_K .. size =    40.00 MiB ->    11.25 MiB
[   6/ 426] blk.0.ffn_down.weight                - [  9216,   2560,      1,      1], type =   bf16, converting to q3_K .. size =    45.00 MiB ->     9.67 MiB
[   7/ 426] blk.0.ffn_gate.weight                - [  2560,   9216,      1,      1], type =   bf16, converting to q2_K .. size =    45.00 MiB ->     7.38 MiB
[   8/ 426] blk.0.ffn_up.weight                  - [  2560,   9216,      1,      1], type =   bf16, converting to q2_K .. size =    45.00 MiB ->     7.38 MiB
[   9/ 426] blk.0.post_attention_norm.weight     - [  2560,      1,      1,      1], type =    f32, size =    0.010 MiB
[  10/ 426] blk.0.ssm_a                          - [    32,      1,      1,      1], type =    f32, size =    0.000 MiB
[  11/ 426] blk.0.ssm_alpha.weight               - [  2560,     32,      1,      1], type =   bf16, converting to q2_K .. size =     0.16 MiB ->     0.03 MiB
[  12/ 426] blk.0.ssm_beta.weight                - [  2560,     32,      1,      1], type =   bf16, converting to q2_K .. size =     0.16 MiB ->     0.03 MiB
[  13/ 426] blk.0.ssm_conv1d.weight              - [     4,   8192,      1,      1], type =    f32, size =    0.125 MiB
[  14/ 426] blk.0.ssm_dt.bias                    - [    32,      1,      1,      1], type =    f32, size =    0.000 MiB
[  15/ 426] blk.0.ssm_norm.weight                - [   128,      1,      1,      1], type =    f32, size =    0.000 MiB
[  16/ 426] blk.0.ssm_out.weight                 - [  4096,   2560,      1,      1], type =   bf16, converting to q2_K .. size =    20.00 MiB ->     3.28 MiB
[  17/ 426] blk.1.attn_gate.weight               - [  2560,   4096,      1,      1], type =   bf16, converting to q2_K .. size =    20.00 MiB ->     3.28 MiB
[  18/ 426] blk.1.attn_norm.weight               - [  2560,      1,      1,      1], type =    f32, size =    0.010 MiB
[  19/ 426] blk.1.attn_qkv.weight                - [  2560,   8192,      1,      1], type =   bf16, converting to q4_K .. size =    40.00 MiB ->    11.25 MiB
[  20/ 426] blk.1.ffn_down.weight                - [  9216,   2560,      1,      1], type =   bf16, converting to q3_K .. size =    45.00 MiB ->     9.67 MiB
[  21/ 426] blk.1.ffn_gate.weight                - [  2560,   9216,      1,      1], type =   bf16, converting to q2_K .. size =    45.00 MiB ->     7.38 MiB
[  22/ 426] blk.1.ffn_up.weight                  - [  2560,   9216,      1,      1], type =   bf16, converting to q2_K .. size =    45.00 MiB ->     7.38 MiB
[  23/ 426] blk.1.post_attention_norm.weight     - [  2560,      1,      1,      1], type =    f32, size =    0.010 MiB
[  24/ 426] blk.1.ssm_a                          - [    32,      1,      1,      1], type =    f32, size =    0.000 MiB
[  25/ 426] blk.1.ssm_alpha.weight               - [  2560,     32,      1,      1], type =   bf16, converting to q2_K .. size =     0.16 MiB ->     0.03 MiB
[  26/ 426] blk.1.ssm_beta.weight                - [  2560,     32,      1,      1], type =   bf16, converting to q2_K .. size =     0.16 MiB ->     0.03 MiB
[  27/ 426] blk.1.ssm_conv1d.weight              - [     4,   8192,      1,      1], type =    f32, size =    0.125 MiB
[  28/ 426] blk.1.ssm_dt.bias                    - [    32,      1,      1,      1], type =    f32, size =    0.000 MiB
