prereg #102 measurement harness -- preregistrations/2026-08-16-rank-predicts-fragility.md
numpy 2.5.1, gguf-py from C:\Python312\Lib\site-packages\gguf
== mistral-7b: D:/evo-compress-data/gguf/Mistral-7B-Instruct-v0.3-Q4_K_M.gguf (1 file(s), 96 FFN tensors over 32 layers) ==
  blk.0   3 matrices  score 0.408428  [5s]
  blk.1   3 matrices  score 0.520157  [9s]
  blk.2   3 matrices  score 0.614412  [14s]
  blk.3   3 matrices  score 0.619504  [18s]
  blk.4   3 matrices  score 0.616617  [23s]
  blk.5   3 matrices  score 0.607473  [27s]
  blk.6   3 matrices  score 0.611816  [32s]
  blk.7   3 matrices  score 0.595910  [36s]
  blk.8   3 matrices  score 0.593135  [40s]
  blk.9   3 matrices  score 0.565676  [45s]
  blk.10  3 matrices  score 0.574818  [49s]
  blk.11  3 matrices  score 0.566050  [54s]
  blk.12  3 matrices  score 0.559381  [58s]
  blk.13  3 matrices  score 0.567164  [63s]
  blk.14  3 matrices  score 0.576159  [67s]
  blk.15  3 matrices  score 0.584412  [71s]
  blk.16  3 matrices  score 0.586928  [76s]
  blk.17  3 matrices  score 0.609642  [80s]
  blk.18  3 matrices  score 0.612198  [85s]
  blk.19  3 matrices  score 0.623352  [89s]
  blk.20  3 matrices  score 0.629325  [94s]
  blk.21  3 matrices  score 0.627245  [98s]
  blk.22  3 matrices  score 0.639042  [103s]
  blk.23  3 matrices  score 0.637290  [107s]
  blk.24  3 matrices  score 0.619831  [112s]
  blk.25  3 matrices  score 0.608535  [116s]
  blk.26  3 matrices  score 0.599658  [121s]
  blk.27  3 matrices  score 0.586409  [125s]
  blk.28  3 matrices  score 0.600134  [130s]
  blk.29  3 matrices  score 0.603675  [134s]
  blk.30  3 matrices  score 0.549157  [139s]
  blk.31  3 matrices  score 0.414238  [143s]
  band  0-7   score 0.574290  (8 layers)
  band  8-15  score 0.573349  (8 layers)
  band 16-23  score 0.620628  (8 layers)
  band 24-31  score 0.572705  (8 layers)
  -> C:\Users\Federico\Documents\evo-compress\.claude\worktrees\law5-prefill\weights\data\rank_bands.json updated (1 model(s))
== qwen2.5-7b: D:/evo-compress-data/gguf/qwen2.5-7b-instruct-fp16-00001-of-00004.gguf (4 file(s), 84 FFN tensors over 28 layers) ==
  blk.0   3 matrices  score 0.344914  [4s]
  blk.1   3 matrices  score 0.139289  [9s]
  blk.2   3 matrices  score 0.353125  [14s]
  blk.3   3 matrices  score 0.293120  [19s]
  blk.4   3 matrices  score 0.326393  [23s]
  blk.5   3 matrices  score 0.493126  [28s]
  blk.6   3 matrices  score 0.484708  [33s]
  blk.7   3 matrices  score 0.640549  [37s]
  blk.8   3 matrices  score 0.627305  [41s]
  blk.9   3 matrices  score 0.504711  [46s]
  blk.10  3 matrices  score 0.607573  [50s]
  blk.11  3 matrices  score 0.590476  [55s]
  blk.12  3 matrices  score 0.587075  [59s]
  blk.13  3 matrices  score 0.587248  [64s]
  blk.14  3 matrices  score 0.601246  [68s]
  blk.15  3 matrices  score 0.597856  [73s]
  blk.16  3 matrices  score 0.592900  [77s]
  blk.17  3 matrices  score 0.602968  [82s]
  blk.18  3 matrices  score 0.614710  [86s]
  blk.19  3 matrices  score 0.625583  [91s]
  blk.20  3 matrices  score 0.637255  [95s]
  blk.21  3 matrices  score 0.649756  [100s]
  blk.22  3 matrices  score 0.651579  [105s]
  blk.23  3 matrices  score 0.633745  [109s]
  blk.24  3 matrices  score 0.647082  [113s]
  blk.25  3 matrices  score 0.651000  [118s]
  blk.26  3 matrices  score 0.619925  [123s]
  blk.27  3 matrices  score 0.407947  [127s]
  band  0-6   score 0.347811  (7 layers)
  band  7-13  score 0.592134  (7 layers)
  band 14-20  score 0.610360  (7 layers)
  band 21-27  score 0.608719  (7 layers)
  -> C:\Users\Federico\Documents\evo-compress\.claude\worktrees\law5-prefill\weights\data\rank_bands.json updated (2 model(s))
== qwen3.5-4b: D:/evo-compress-data/gguf/Qwen3.5-4B-BF16.gguf (1 file(s), 96 FFN tensors over 32 layers) ==
  blk.0   3 matrices  score 0.698895  [2s]
  blk.1   3 matrices  score 0.678761  [3s]
  blk.2   3 matrices  score 0.659872  [5s]
  blk.3   3 matrices  score 0.657028  [6s]
  blk.4   3 matrices  score 0.657979  [8s]
  blk.5   3 matrices  score 0.659762  [10s]
  blk.6   3 matrices  score 0.647390  [11s]
  blk.7   3 matrices  score 0.623943  [13s]
  blk.8   3 matrices  score 0.635513  [14s]
  blk.9   3 matrices  score 0.623296  [16s]
  blk.10  3 matrices  score 0.606624  [17s]
  blk.11  3 matrices  score 0.607417  [19s]
  blk.12  3 matrices  score 0.601811  [20s]
  blk.13  3 matrices  score 0.591590  [22s]
  blk.14  3 matrices  score 0.585195  [24s]
  blk.15  3 matrices  score 0.560887  [25s]
  blk.16  3 matrices  score 0.560033  [27s]
  blk.17  3 matrices  score 0.586034  [28s]
  blk.18  3 matrices  score 0.587203  [30s]
  blk.19  3 matrices  score 0.601050  [31s]
  blk.20  3 matrices  score 0.611317  [33s]
  blk.21  3 matrices  score 0.607317  [35s]
  blk.22  3 matrices  score 0.557653  [36s]
  blk.23  3 matrices  score 0.600235  [38s]
  blk.24  3 matrices  score 0.598741  [39s]
  blk.25  3 matrices  score 0.577318  [41s]
  blk.26  3 matrices  score 0.535584  [42s]
  blk.27  3 matrices  score 0.547058  [44s]
  blk.28  3 matrices  score 0.533874  [45s]
  blk.29  3 matrices  score 0.515943  [47s]
  blk.30  3 matrices  score 0.460274  [49s]
  blk.31  3 matrices  score 0.316917  [50s]
  band  0-7   score 0.660454  (8 layers)
  band  8-15  score 0.601541  (8 layers)
  band 16-23  score 0.588855  (8 layers)
  band 24-31  score 0.510714  (8 layers)
  -> C:\Users\Federico\Documents\evo-compress\.claude\worktrees\law5-prefill\weights\data\rank_bands.json updated (3 model(s))
== qwen3.5-35b: D:/evo-compress-data/gguf/Qwen3.5-35B-A3B-Q8_0.gguf (1 file(s), 240 FFN tensors over 40 layers) ==
  blk.0   6 matrices  score 0.418737  [13s]
  blk.1   6 matrices  score 0.557038  [27s]
  blk.2   6 matrices  score 0.576080  [40s]
  blk.3   6 matrices  score 0.591577  [53s]
  blk.4   6 matrices  score 0.589499  [66s]
  blk.5   6 matrices  score 0.599236  [79s]
  blk.6   6 matrices  score 0.595983  [92s]
  blk.7   6 matrices  score 0.577494  [105s]
  blk.8   6 matrices  score 0.583005  [118s]
  blk.9   6 matrices  score 0.563545  [131s]
  blk.10  6 matrices  score 0.571420  [144s]
  blk.11  6 matrices  score 0.566107  [157s]
  blk.12  6 matrices  score 0.564666  [212s]
  blk.13  6 matrices  score 0.539372  [374s]
  blk.14  6 matrices  score 0.517599  [456s]
  blk.15  6 matrices  score 0.525149  [470s]
  blk.16  6 matrices  score 0.527586  [484s]
  blk.17  6 matrices  score 0.532716  [498s]
  blk.18  6 matrices  score 0.517535  [511s]
  blk.19  6 matrices  score 0.529250  [524s]
  blk.20  6 matrices  score 0.532074  [537s]
  blk.21  6 matrices  score 0.527238  [551s]
  blk.22  6 matrices  score 0.539034  [564s]
  blk.23  6 matrices  score 0.523166  [578s]
  blk.24  6 matrices  score 0.527623  [591s]
  blk.25  6 matrices  score 0.516441  [604s]
  blk.26  6 matrices  score 0.519682  [617s]
  blk.27  6 matrices  score 0.521230  [631s]
  blk.28  6 matrices  score 0.511727  [645s]
  blk.29  6 matrices  score 0.542191  [660s]
  blk.30  6 matrices  score 0.522127  [675s]
  blk.31  6 matrices  score 0.509420  [688s]
  blk.32  6 matrices  score 0.496505  [702s]
  blk.33  6 matrices  score 0.519818  [715s]
  blk.34  6 matrices  score 0.458430  [728s]
  blk.35  6 matrices  score 0.463883  [742s]
  blk.36  6 matrices  score 0.461884  [755s]
  blk.37  6 matrices  score 0.465160  [769s]
  blk.38  6 matrices  score 0.460380  [784s]
  blk.39  6 matrices  score 0.329830  [798s]
  band  0-9   score 0.565220  (10 layers)
  band 10-19  score 0.539140  (10 layers)
  band 20-29  score 0.526040  (10 layers)
  band 30-39  score 0.468744  (10 layers)
  -> C:\Users\Federico\Documents\evo-compress\.claude\worktrees\law5-prefill\weights\data\rank_bands.json updated (4 model(s))
== qwen3-30b: D:/evo-compress-data/gguf/Qwen3-30B-A3B-Q2_K.gguf (1 file(s), 144 FFN tensors over 48 layers) ==
  blk.0   3 matrices  score 0.430238  [13s]
  blk.1   3 matrices  score 0.551572  [27s]
  blk.2   3 matrices  score 0.559876  [40s]
  blk.3   3 matrices  score 0.589450  [54s]
  blk.4   3 matrices  score 0.583133  [67s]
  blk.5   3 matrices  score 0.581010  [81s]
  blk.6   3 matrices  score 0.586119  [94s]
  blk.7   3 matrices  score 0.587727  [108s]
  blk.8   3 matrices  score 0.582199  [121s]
  blk.9   3 matrices  score 0.588129  [135s]
  blk.10  3 matrices  score 0.572322  [148s]
  blk.11  3 matrices  score 0.578464  [162s]
  blk.12  3 matrices  score 0.583925  [175s]
  blk.13  3 matrices  score 0.576036  [189s]
  blk.14  3 matrices  score 0.587099  [203s]
  blk.15  3 matrices  score 0.589144  [216s]
  blk.16  3 matrices  score 0.597037  [230s]
  blk.17  3 matrices  score 0.599723  [243s]
  blk.18  3 matrices  score 0.552174  [257s]
  blk.19  3 matrices  score 0.558648  [271s]
  blk.20  3 matrices  score 0.565739  [285s]
  blk.21  3 matrices  score 0.575430  [299s]
  blk.22  3 matrices  score 0.557874  [312s]
  blk.23  3 matrices  score 0.565596  [326s]
  blk.24  3 matrices  score 0.565308  [340s]
  blk.25  3 matrices  score 0.575903  [353s]
  blk.26  3 matrices  score 0.587452  [367s]
  blk.27  3 matrices  score 0.584519  [381s]
  blk.28  3 matrices  score 0.595239  [394s]
  blk.29  3 matrices  score 0.606366  [408s]
  blk.30  3 matrices  score 0.572425  [422s]
  blk.31  3 matrices  score 0.572864  [435s]
  blk.32  3 matrices  score 0.583377  [449s]
  blk.33  3 matrices  score 0.589063  [462s]
  blk.34  3 matrices  score 0.572238  [476s]
  blk.35  3 matrices  score 0.582964  [490s]
  blk.36  3 matrices  score 0.581150  [503s]
  blk.37  3 matrices  score 0.586512  [517s]
  blk.38  3 matrices  score 0.583299  [531s]
  blk.39  3 matrices  score 0.573793  [544s]
  blk.40  3 matrices  score 0.575773  [558s]
  blk.41  3 matrices  score 0.571541  [572s]
  blk.42  3 matrices  score 0.584836  [585s]
  blk.43  3 matrices  score 0.592645  [599s]
  blk.44  3 matrices  score 0.589237  [613s]
  blk.45  3 matrices  score 0.600538  [627s]
  blk.46  3 matrices  score 0.591465  [641s]
  blk.47  3 matrices  score 0.520956  [654s]
  band  0-11  score 0.565853  (12 layers)
  band 12-23  score 0.575702  (12 layers)
  band 24-35  score 0.582310  (12 layers)
  band 36-47  score 0.579312  (12 layers)
  -> C:\Users\Federico\Documents\evo-compress\.claude\worktrees\law5-prefill\weights\data\rank_bands.json updated (5 model(s))
== qwen3.8-27b: D:/evo-compress-data/gguf/qwen38/Qwen3.8-27B-Q4_K_M.gguf (1 file(s), 195 FFN tensors over 65 layers) ==
  blk.0   3 matrices  score 0.327611  [8s]
  blk.1   3 matrices  score 0.513809  [16s]
  blk.2   3 matrices  score 0.584930  [24s]
  blk.3   3 matrices  score 0.611827  [32s]
  blk.4   3 matrices  score 0.590113  [41s]
  blk.5   3 matrices  score 0.615029  [49s]
  blk.6   3 matrices  score 0.634801  [57s]
  blk.7   3 matrices  score 0.616261  [65s]
  blk.8   3 matrices  score 0.612881  [73s]
  blk.9   3 matrices  score 0.603833  [81s]
  blk.10  3 matrices  score 0.591994  [89s]
  blk.11  3 matrices  score 0.577702  [96s]
  blk.12  3 matrices  score 0.569267  [104s]
  blk.13  3 matrices  score 0.556297  [112s]
  blk.14  3 matrices  score 0.545159  [120s]
  blk.15  3 matrices  score 0.529305  [128s]
  blk.16  3 matrices  score 0.532226  [136s]
  blk.17  3 matrices  score 0.547473  [144s]
  blk.18  3 matrices  score 0.561740  [152s]
  blk.19  3 matrices  score 0.582584  [160s]
  blk.20  3 matrices  score 0.613448  [168s]
  blk.21  3 matrices  score 0.627820  [176s]
  blk.22  3 matrices  score 0.602181  [184s]
  blk.23  3 matrices  score 0.615064  [192s]
