# routing divergence (quant carve-out vs fp16), 4096 tok/layer, fp16 router both
# overlap=mean|E_fp16 & E_quant|/k (1=identical) ; top1=highest-expert match ; div=1-overlap
layer   overlap  top1_agree  divergence
    1    0.9526      0.9346      0.0474
    2    0.9272      0.8943      0.0728
    3    0.9303      0.8857      0.0697
    4    0.9333      0.8948      0.0667
    5    0.9197      0.8545      0.0803
    6    0.9128      0.8345      0.0872
    7    0.9092      0.8274      0.0908
    8    0.9045      0.8428      0.0955
    9    0.9076      0.8276      0.0924
   10    0.9044      0.8442      0.0956
   11    0.9062      0.8354      0.0938
   12    0.8914      0.8333      0.1086
   13    0.8780      0.7891      0.1220
   14    0.8816      0.8025      0.1184
   15    0.8778      0.7896      0.1222
   16    0.8699      0.7969      0.1301
   17    0.8851      0.7930      0.1149
   18    0.8660      0.7783      0.1340
   19    0.8719      0.7883      0.1281
   20    0.8482      0.7349      0.1518
   21    0.8560      0.7314      0.1440
   22    0.8566      0.8137      0.1434
   23    0.8653      0.7854      0.1347
   24    0.8630      0.7773      0.1370
   25    0.8641      0.7842      0.1359
   26    0.8820      0.8276      0.1180

# early-half mean divergence = 0.0864 ; late-half mean = 0.1317 ; ratio late/early = 1.52x
# first MoE layer div = 0.0474 ; last = 0.1180
