# routing divergence vs fp16 | cfg: routed-gate/up=2 DOWN_K=2 ATTN_K=2 SHARED_K=2 DENSE_K=2 INT8_GS=True AWQ=False(a=0.5) | 4096 tok/layer | fp16 router both
layer   overlap  top1_agree  divergence
    1    0.8518      0.8076      0.1482
    2    0.8236      0.7380      0.1764
    3    0.8228      0.7305      0.1772
    4    0.8208      0.7556      0.1792
    5    0.7870      0.6628      0.2130
    6    0.7668      0.6111      0.2332
    7    0.7441      0.5735      0.2559
    8    0.7386      0.5881      0.2614
    9    0.7106      0.4497      0.2894
   10    0.7258      0.5850      0.2742
   11    0.6911      0.5571      0.3089
   12    0.6843      0.5745      0.3157
   13    0.6049      0.4600      0.3951
   14    0.6691      0.5444      0.3309
   15    0.6580      0.4980      0.3420
   16    0.6562      0.5278      0.3438
   17    0.6941      0.4983      0.3059
   18    0.6375      0.4324      0.3625
   19    0.6501      0.5276      0.3499
   20    0.5852      0.3933      0.4148
   21    0.6273      0.3484      0.3727
   22    0.6283      0.5630      0.3717
   23    0.6434      0.5044      0.3566
   24    0.6156      0.4924      0.3844
   25    0.6532      0.5527      0.3468
   26    0.6984      0.6045      0.3016

# early-half mean div=0.2483 late-half=0.3526 ratio=1.42x
# first MoE div=0.1482 last=0.3016 max=0.4148
