# routing TEMPORAL locality (fp16, consecutive tokens), DeepSeek-V2-Lite
# 2 win x 2048 tok | k routed experts of 64 (+2 shared always-on)
layer  consec_ov  rand_ov   ws@8  ws@32  ws@128  topshare
    1      0.172    0.108   32.0   57.6    63.9      2.35
    2      0.211    0.102   31.4   57.1    63.9      1.60
    3      0.263    0.101   29.6   55.3    63.9      1.76
    4      0.306    0.107   28.1   53.1    63.1      1.86
    5      0.339    0.108   27.2   52.5    63.0      1.68
    6      0.339    0.118   26.2   50.8    62.3      2.48
    7      0.357    0.120   26.0   49.2    62.3      2.60
    8      0.387    0.122   24.4   47.4    61.4      2.25
    9      0.365    0.123   25.0   48.4    61.6      2.32
   10      0.357    0.128   25.6   48.5    61.4      2.96
   11      0.369    0.121   25.6   48.1    61.3      3.07
   12      0.381    0.153   24.8   47.3    61.2      5.24
   13      0.406    0.165   23.7   44.9    59.3      4.33
   14      0.357    0.126   25.5   49.3    61.9      3.31
   15      0.343    0.133   25.9   49.6    62.1      3.43
   16      0.308    0.112   27.0   50.9    62.9      2.99
   17      0.292    0.135   27.8   52.7    62.9      4.17
   18      0.313    0.125   26.9   50.6    62.1      2.22
   19      0.290    0.128   27.4   51.0    62.9      3.08
   20      0.293    0.127   27.0   50.8    62.6      3.00
   21      0.282    0.129   26.8   50.5    62.3      3.15
   22      0.270    0.116   27.2   51.9    62.4      2.27
   23      0.263    0.119   27.8   51.2    62.0      2.83
   24      0.300    0.159   26.2   49.2    61.7      4.00
   25      0.255    0.111   28.2   53.2    62.9      2.16
   26      0.242    0.114   28.7   53.7    63.2      2.30

# mean consec_overlap = 0.310  vs  random-pair = 0.123  (temporal locality = 2.51x base rate)
# mean working set: W=8 -> 27.0, W=32 -> 51.0, W=128 -> 62.3 distinct routed experts of 64
# verdict: overlap only 2.5x base, working set ~51/64 within 32 tok -> hot-expert cache NOT viable (paper-2 thesis REFUTED)
